id,Details,NDVI,PLATFORM,Yield
50,HiRain_Hard_SP,0.967564144,TAMU,121
51,HiRain_Hard_SP,0.970139927,TAMU,127
52,HiRain_Hard_SP,0.963148554,TAMU,115
53,HiRain_Hard_SP,0.959499297,TAMU,115
54,HiRain_Hard_SP,0.965354072,TAMU,122
55,HiRain_Hard_SP,0.955606596,TAMU,109
56,HiRain_Hard_SP,0.95732363,TAMU,117
57,HiRain_Hard_SP,0.965838857,TAMU,108
58,HiRain_Hard_SP,0.968142758,TAMU,109
59,HiRain_Hard_SP,0.969004557,TAMU,110
60,HiRain_Hard_SP,0.966162507,TAMU,107
61,HiRain_Hard_SP,0.945872903,TAMU,93
62,HiRain_Hard_SP,0.96737709,TAMU,111
63,HiRain_Hard_SP,0.969576652,TAMU,108
64,HiRain_Hard_SP,0.967136399,TAMU,111
65,HiRain_Hard_SP,0.96455438,TAMU,114
66,HiRain_Hard_SP,0.966417335,TAMU,116
67,HiRain_Hard_SP,0.967874716,TAMU,105
68,HiRain_Hard_SP,0.957177475,TAMU,100
69,HiRain_Hard_SP,0.953964065,TAMU,107
70,HiRain_Hard_SP,0.956149492,TAMU,111
71,HiRain_Hard_SP,0.898250342,TAMU,81
72,HiRain_Hard_SP,0.914597225,TAMU,78
73,HiRain_Hard_SP,0.896385276,TAMU,83
74,HiRain_Hard_SP,0.947849646,TAMU,90
75,HiRain_Hard_SP,0.948859194,TAMU,107
76,HiRain_Hard_SP,0.952728587,TAMU,109
77,HiRain_Hard_SP,0.963449468,TAMU,136
78,HiRain_Hard_SP,0.963175864,TAMU,103
79,HiRain_Hard_SP,0.9578695,TAMU,118
80,HiRain_Hard_SP,0.956781118,TAMU,106
81,HiRain_Hard_SP,0.956484375,TAMU,108
82,HiRain_Hard_SP,0.965506901,TAMU,126
83,HiRain_Hard_SP,0.967066419,TAMU,117
84,HiRain_Hard_SP,0.966380001,TAMU,115
85,HiRain_Hard_SP,0.961021505,TAMU,107
86,HiRain_Hard_SP,0.949760333,TAMU,106
87,HiRain_Hard_SP,0.953700107,TAMU,97
