id,Details,NDVI_TAMU,NDVI_WSU,Yield
114,HiRain_Hard_SP,0.937711897,0.578602855,89
115,HiRain_Hard_SP,0.953627529,0.647337678,84
116,HiRain_Hard_SP,0.941405044,0.593547265,81
117,HiRain_Hard_SP,0.931469687,0.529146062,76
118,HiRain_Hard_SP,0.91860437,0.478358572,76
119,HiRain_Hard_SP,0.929613239,0.561673661,71
120,HiRain_Hard_SP,0.891152851,0.414880812,56
121,HiRain_Hard_SP,0.89711952,0.471200187,77
122,HiRain_Hard_SP,0.889862295,0.400268658,74
123,HiRain_Hard_SP,0.909800785,0.464980492,63
124,HiRain_Hard_SP,0.90902214,0.434437774,63
125,HiRain_Hard_SP,0.921301033,0.496744682,79
126,HiRain_Hard_SP,0.939095169,0.570352307,88
127,HiRain_Hard_SP,0.959406613,0.705570663,102
128,HiRain_Hard_SP,0.952051045,0.635567311,100
129,HiRain_Hard_SP,0.945551695,0.620120633,96
130,HiRain_Hard_SP,0.927616273,0.551636227,97
131,HiRain_Hard_SP,0.9539165,0.653376638,99
132,HiRain_Hard_SP,0.947408113,0.604754592,118
133,HiRain_Hard_SP,0.958101255,0.662097508,118
134,HiRain_Hard_SP,0.976586306,0.791011574,118
135,HiRain_Hard_SP,0.974715559,0.77437784,115
136,HiRain_Hard_SP,0.967651248,0.749320157,120
137,HiRain_Hard_SP,0.96935076,0.744072687,116
138,HiRain_Hard_SP,0.964126376,0.71901613,112
139,HiRain_Hard_SP,0.962694334,0.71058146,102
140,HiRain_Hard_SP,0.962981798,0.710257456,107
141,HiRain_Hard_SP,0.975032015,0.784506801,97
142,HiRain_Hard_SP,0.969548184,0.7346867,105
143,HiRain_Hard_SP,0.964117827,0.700540278,114
144,HiRain_Hard_SP,0.967245988,0.712616196,119
145,HiRain_Hard_SP,0.964994686,0.695610504,124
146,HiRain_Hard_SP,0.964808425,0.697577464,117
147,HiRain_Hard_SP,0.969977859,0.728783142,125
148,HiRain_Hard_SP,0.967673775,0.718535057,120
149,HiRain_Hard_SP,0.964325038,0.690783379,110
150,HiRain_Hard_SP,0.960678822,0.679138021,98
151,HiRain_Hard_SP,0.963539413,0.694506615,103
152,HiRain_Hard_SP,0.94388678,0.585576728,93
153,HiRain_Hard_SP,0.948055285,0.599307901,102
154,HiRain_Hard_SP,0.951142666,0.624929634,93
155,HiRain_Hard_SP,0.960334096,0.682495795,119
156,HiRain_Hard_SP,0.972173845,0.759619704,119
157,HiRain_Hard_SP,0.969579798,0.744712341,111
158,HiRain_Hard_SP,0.967492355,0.727287467,116
159,HiRain_Hard_SP,0.972317841,0.762449214,116
160,HiRain_Hard_SP,0.956196067,0.65148313,119
161,HiRain_Hard_SP,0.905063923,0.637973326,80
162,HiRain_Hard_SP,0.9709744,0.763885929,123
163,HiRain_Hard_SP,0.970406021,0.746957043,121
164,HiRain_Hard_SP,0.957793489,0.66916741,129
165,HiRain_Hard_SP,0.967863277,0.744604716,124
166,HiRain_Hard_SP,0.959438711,0.687336751,127
167,HiRain_Hard_SP,0.966926625,0.734559477,112
168,HiRain_Hard_SP,0.971737445,0.761516058,124
169,HiRain_Hard_SP,0.970190667,0.741820321,93
170,HiRain_Hard_SP,0.964737955,0.728345318,118
171,HiRain_Hard_SP,0.970605027,0.75216525,126
172,HiRain_Hard_SP,0.965270822,0.716168276,128
173,HiRain_Hard_SP,0.956597862,0.661842501,123
174,HiRain_Hard_SP,0.963132351,0.691060015,130
175,HiRain_Hard_SP,0.973182438,0.760016028,129
176,HiRain_Hard_SP,0.966147907,0.709470444,120
177,HiRain_Hard_SP,0.963195076,0.683051855,128
178,HiRain_Hard_SP,0.961946824,0.682088811,135
179,HiRain_Hard_SP,0.971866691,0.755470708,129
180,HiRain_Hard_SP,0.968251998,0.730272541,113
181,HiRain_Hard_SP,0.964252471,0.696686081,111
182,HiRain_Hard_SP,0.962083688,0.690048297,131
183,HiRain_Hard_SP,0.958145483,0.682667034,107
184,HiRain_Hard_SP,0.962552019,0.699560837,109
185,HiRain_Hard_SP,0.959625474,0.688264097,110
186,HiRain_Hard_SP,0.958549947,0.663500382,119
187,HiRain_Hard_SP,0.954012629,0.646229981,117
188,HiRain_Hard_SP,0.951524013,0.644106888,124
189,HiRain_Hard_SP,0.968625086,0.726338543,123
190,HiRain_Hard_SP,0.971009487,0.74432309,93
191,HiRain_Hard_SP,0.97752455,0.797291726,96
192,HiRain_Hard_SP,0.969938353,0.737025207,119
193,HiRain_Hard_SP,0.969979756,0.735650678,118
194,HiRain_Hard_SP,0.969756362,0.73017282,118
195,HiRain_Hard_SP,0.971518446,0.746246086,103
196,HiRain_Hard_SP,0.969556984,0.728604314,123
197,HiRain_Hard_SP,0.947014888,0.601824389,103
198,HiRain_Hard_SP,0.952304423,0.626182999,93
199,HiRain_Hard_SP,0.95365015,0.626513305,107
200,HiRain_Hard_SP,0.957081101,0.641092117,100
201,HiRain_Hard_SP,0.967863788,0.720430935,113
202,HiRain_Hard_SP,0.955019425,0.638084697,111
203,HiRain_Hard_SP,0.956879205,0.645076904,105
204,HiRain_Hard_SP,0.966288254,0.711151793,115
205,HiRain_Hard_SP,0.966359531,0.713088744,103
206,HiRain_Hard_SP,0.958728536,0.667694817,108
207,HiRain_Hard_SP,0.957590666,0.662629772,100
208,HiRain_Hard_SP,0.960950445,0.686782766,100
209,HiRain_Hard_SP,0.959526352,0.668799077,96
210,HiRain_Hard_SP,0.958528919,0.671520609,84
211,HiRain_Hard_SP,0.89465257,0.573608078,71
212,HiRain_Hard_SP,0.955166837,0.679685598,91
213,HiRain_Hard_SP,0.953908772,0.666118084,94
214,HiRain_Hard_SP,0.957558249,0.672369003,102
215,HiRain_Hard_SP,0.961624829,0.701846057,99
216,HiRain_Hard_SP,0.967760134,0.731770421,101
217,HiRain_Hard_SP,0.969691985,0.741703286,103
218,HiRain_Hard_SP,0.960904257,0.683501264,115
219,HiRain_Hard_SP,0.964068132,0.707973867,109
220,HiRain_Hard_SP,0.9583349,0.661473957,110
221,HiRain_Hard_SP,0.943697849,0.625045806,90
222,HiRain_Hard_SP,0.919442799,0.499434185,75
223,HiRain_Hard_SP,0.937740047,0.566636002,84
224,HiRain_Hard_SP,0.944759253,0.580337662,84
225,HiRain_Hard_SP,0.949377751,0.614872796,92
226,HiRain_Hard_SP,0.948937898,0.625105831,92
227,HiRain_Hard_SP,0.936659735,0.5491782,91
228,HiRain_Hard_SP,0.949076571,0.60899562,101
229,HiRain_Hard_SP,0.945598885,0.586696438,101
230,HiRain_Hard_SP,0.944861455,0.599536593,99
231,HiRain_Hard_SP,0.963778503,0.701867531,104
232,HiRain_Hard_SP,0.962225482,0.689290392,119
233,HiRain_Hard_SP,0.959143229,0.670025824,109
234,HiRain_Hard_SP,0.958611449,0.669557904,104
235,HiRain_Hard_SP,0.95171792,0.641576501,97
236,HiRain_Hard_SP,0.944525571,0.601289381,102
237,HiRain_Hard_SP,0.944626516,0.612527967,99
238,HiRain_Hard_SP,0.94342403,0.619763291,95
239,HiRain_Hard_SP,0.970728089,0.760332195,97
1,HiRain_SWW_SP,0.92588959,0.514868603,62
2,HiRain_SWW_SP,0.934329333,0.546439817,68
3,HiRain_SWW_SP,0.960406155,0.669838607,90
4,HiRain_SWW_SP,0.949333498,0.603448059,77
5,HiRain_SWW_SP,0.938614419,0.55824998,68
6,HiRain_SWW_SP,0.930354374,0.542933202,69
7,HiRain_SWW_SP,0.939717022,0.573265865,67
8,HiRain_SWW_SP,0.945731106,0.601164667,72
9,HiRain_SWW_SP,0.937170305,0.575344422,75
10,HiRain_SWW_SP,0.950125941,0.622055467,83
11,HiRain_SWW_SP,0.950346144,0.617928176,87
12,HiRain_SWW_SP,0.94991774,0.630918044,86
13,HiRain_SWW_SP,0.932044741,0.55391397,72
14,HiRain_SWW_SP,0.956136148,0.6701414,60
15,HiRain_SWW_SP,0.947583417,0.62063522,57
16,HiRain_SWW_SP,0.955427441,0.650043605,82
