id,Details,NDRE_TAMU,NDRE_WSU
63,HiRain_Har,0.153649005,0.44987648
64,HiRain_Har,0.235891282,0.507243784
65,HiRain_Har,0.221731377,0.50140844
66,HiRain_Har,0.177661031,0.471393089
67,HiRain_Har,0.084780145,0.410752104
68,HiRain_Har,0.017974302,0.387921309
69,HiRain_Har,0.204703664,0.485652946
70,HiRain_Har,0.228030854,0.505886146
71,HiRain_Har,0.174019229,0.466315588
72,HiRain_Har,0.254277745,0.524998259
73,HiRain_Har,0.20242321,0.483769873
74,HiRain_Har,0.151309237,0.45393719
75,HiRain_Har,0.224915988,0.506326572
76,HiRain_Har,0.197189105,0.484418628
77,HiRain_Har,0.211523657,0.495915482
78,HiRain_Har,0.200474167,0.489796709
79,HiRain_Har,0.177042091,0.469462058
80,HiRain_Har,0.138125698,0.447698084
81,HiRain_Har,0.193956117,0.481400612
82,HiRain_Har,0.204751893,0.49053018
83,HiRain_Har,0.249499943,0.522499883
84,HiRain_Har,0.233000304,0.507509118
85,HiRain_Har,-0.125987013,0.338248593
86,HiRain_Har,0.144856776,0.450099665
87,HiRain_Har,0.1317241,0.434511888
88,HiRain_Har,0.119501318,0.426855265
89,HiRain_Har,0.134321711,0.438740576
90,HiRain_Har,0.229130995,0.50393957
91,HiRain_Har,0.209896952,0.489765372
92,HiRain_Har,0.089156019,0.403904409
93,HiRain_Har,0.217251138,0.49695472
94,HiRain_Har,0.094054026,0.415330617
95,HiRain_Har,0.019773357,0.370952888
96,HiRain_Har,-0.098377588,0.332142402
97,HiRain_Har,0.082570837,0.399334387
98,HiRain_Har,0.078761587,0.398549635
99,HiRain_Har,0.132604338,0.443270213
100,HiRain_Har,0.183538819,0.476168618
101,HiRain_Har,0.13816198,0.436305313
102,HiRain_Har,0.163129642,0.461139737
103,HiRain_Har,0.161017322,0.457048357
104,HiRain_Har,0.132535134,0.433717644
105,HiRain_Har,0.157612772,0.457917584
106,HiRain_Har,0.131486238,0.44562978
107,HiRain_Har,0.157987947,0.455269771
108,HiRain_Har,0.163581318,0.458893597
1,HiRain_SWW,0.12017402,0.420334596
2,HiRain_SWW,0.076063498,0.379491078
3,HiRain_SWW,0.148373585,0.43647293
4,HiRain_SWW,0.049902013,0.380528161
5,HiRain_SWW,0.144155254,0.427820842
6,HiRain_SWW,0.067298378,0.376605513
7,HiRain_SWW,0.183792092,0.459563322
8,HiRain_SWW,0.168923316,0.45227326
9,HiRain_SWW,0.102822677,0.403618224
10,HiRain_SWW,0.025109545,0.37572577
11,HiRain_SWW,0.037986834,0.397072983
12,HiRain_SWW,0.165875983,0.44979135
13,HiRain_SWW,0.155837359,0.451097477
14,HiRain_SWW,0.03514962,0.372473804
15,HiRain_SWW,0.142134185,0.444388192
16,HiRain_SWW,0.155112669,0.448489632
17,HiRain_SWW,0.148510338,0.443853116
18,HiRain_SWW,0.192640295,0.468168136
19,HiRain_SWW,0.096596721,0.403868225
20,HiRain_SWW,0.140956414,0.427726298
21,HiRain_SWW,0.100180968,0.408345982
22,HiRain_SWW,0.099586864,0.403395632
23,HiRain_SWW,0.1661301,0.444727497
24,HiRain_SWW,0.119950748,0.416772629
25,HiRain_SWW,0.173130708,0.456949759
26,HiRain_SWW,0.152716005,0.437549067
27,HiRain_SWW,0.13451183,0.431617452
28,HiRain_SWW,0.143186919,0.444764497
29,HiRain_SWW,0.171990126,0.459449254
30,HiRain_SWW,0.169762345,0.454805095
31,HiRain_SWW,0.249206535,0.515086122
32,HiRain_SWW,0.140511451,0.4358051
33,HiRain_SWW,0.142744878,0.446317303
34,HiRain_SWW,0.235021117,0.510010502
35,HiRain_SWW,0.144340358,0.446384062
36,HiRain_SWW,0.141225652,0.443287069
37,HiRain_SWW,0.194962074,0.473201749
38,HiRain_SWW,0.257866982,0.518868808
39,HiRain_SWW,0.130378151,0.432613672
40,HiRain_SWW,0.214339179,0.487255752
41,HiRain_SWW,0.232056827,0.496709745
42,HiRain_SWW,0.217805263,0.492103567
43,HiRain_SWW,0.263592116,0.525125019
44,HiRain_SWW,0.242463304,0.511578353
45,HiRain_SWW,0.181513098,0.469881907
46,HiRain_SWW,0.195683857,0.477297548
47,HiRain_SWW,0.218236848,0.494452483
48,HiRain_SWW,0.192779904,0.472675886
49,HiRain_SWW,0.162272639,0.452965001
50,HiRain_SWW,0.180275636,0.468886624
51,HiRain_SWW,0.167730661,0.458548234
52,HiRain_SWW,0.187982157,0.476358743
53,HiRain_SWW,0.242315373,0.512238113
54,HiRain_SWW,0.246779732,0.515780006
55,HiRain_SWW,0.239702765,0.506980249
56,HiRain_SWW,0.192730144,0.474188959
57,HiRain_SWW,0.22933173,0.512883509
58,HiRain_SWW,0.231252509,0.510762733
59,HiRain_SWW,0.207711858,0.487058397
60,HiRain_SWW,0.213743222,0.493076792
61,HiRain_SWW,0.172082453,0.464282864
62,HiRain_SWW,0.134569258,0.440667213
63,HiRain_SWW,0.18057537,0.466979153
64,HiRain_SWW,0.191293769,0.478153729
65,HiRain_SWW,0.261898146,0.530363774
66,HiRain_SWW,0.193365728,0.483005774
67,HiRain_SWW,0.202374213,0.489278287
68,HiRain_SWW,0.118860029,0.427350763
69,HiRain_SWW,0.147175621,0.442825275
70,HiRain_SWW,0.233399843,0.502978126
71,HiRain_SWW,0.254908568,0.520286967
72,HiRain_SWW,0.218197854,0.498934061
73,HiRain_SWW,0.164823191,0.458739706
74,HiRain_SWW,0.158492705,0.460959943
75,HiRain_SWW,0.138610512,0.446128799
76,HiRain_SWW,0.181393828,0.473843279
77,HiRain_SWW,0.132531327,0.433937997
78,HiRain_SWW,0.180309916,0.462692131
79,HiRain_SWW,0.026350395,0.377895822
80,HiRain_SWW,0.08919241,0.400939134
81,HiRain_SWW,0.153786819,0.448724572
82,HiRain_SWW,0.178853291,0.46612162
83,HiRain_SWW,0.229049902,0.498898292
84,HiRain_SWW,0.201787182,0.481643159
85,HiRain_SWW,0.259628457,0.524724004
86,HiRain_SWW,0.211674353,0.486846099
87,HiRain_SWW,0.175302984,0.464255563
88,HiRain_SWW,0.219657082,0.492703317
89,HiRain_SWW,0.038436833,0.393610494
90,HiRain_SWW,0.082252925,0.401300189
91,HiRain_SWW,0.147551414,0.449264902
92,HiRain_SWW,0.140080714,0.442855321
93,HiRain_SWW,-0.06162592,0.348927874
94,HiRain_SWW,0.130092137,0.440017885
95,HiRain_SWW,0.17320401,0.460785527
96,HiRain_SWW,0.083150499,0.416913826
97,HiRain_SWW,0.202857236,0.47807186
98,HiRain_SWW,0.225081303,0.496832556
99,HiRain_SWW,0.165030108,0.460968976
100,HiRain_SWW,0.124070907,0.42861011
101,HiRain_SWW,0.135497033,0.426112852
102,HiRain_SWW,0.166566683,0.452541863
103,HiRain_SWW,0.050951047,0.377677752
104,HiRain_SWW,0.159156858,0.447007411
105,HiRain_SWW,0.174348664,0.454654146
106,HiRain_SWW,0.125851493,0.425201654
107,HiRain_SWW,0.235597023,0.501148942
108,HiRain_SWW,0.256744763,0.515313996
109,HiRain_SWW,0.168608461,0.464897491
110,HiRain_SWW,0.200049547,0.477986916
111,HiRain_SWW,0.188323585,0.474181277
112,HiRain_SWW,0.262745772,0.525376358
113,HiRain_SWW,0.226399697,0.497412673
114,HiRain_SWW,0.190976072,0.479475493
115,HiRain_SWW,0.150805679,0.447117644
116,HiRain_SWW,0.124887842,0.421247268
117,HiRain_SWW,0.226925815,0.499623483
118,HiRain_SWW,0.163430638,0.457792336
119,HiRain_SWW,-0.053732518,0.329411744
120,HiRain_SWW,0.097551101,0.411096629
121,HiRain_SWW,0.121344144,0.445393022
122,HiRain_SWW,0.047433648,0.39618207
123,HiRain_SWW,0.167187846,0.463494323
124,HiRain_SWW,0.154506546,0.447049875
125,HiRain_SWW,0.163297335,0.460279487
126,HiRain_SWW,0.217625555,0.500143724
127,HiRain_SWW,0.101233659,0.411208041
128,HiRain_SWW,0.209524853,0.492101089
129,HiRain_SWW,0.152896236,0.452681231
130,HiRain_SWW,0.100582902,0.410790607
131,HiRain_SWW,0.162644548,0.451512946
132,HiRain_SWW,0.197618099,0.480191996
133,HiRain_SWW,0.275712443,0.534070171
134,HiRain_SWW,0.267921814,0.529740996
135,HiRain_SWW,0.213608031,0.489445571
136,HiRain_SWW,0.204933031,0.484106834
137,HiRain_SWW,0.161943794,0.453578408
138,HiRain_SWW,0.135428811,0.433251066
139,HiRain_SWW,0.208865776,0.489668997
140,HiRain_SWW,0.202109815,0.484073536
141,HiRain_SWW,0.2039588,0.489611233
142,HiRain_SWW,0.162800848,0.452267656
143,HiRain_SWW,0.217449915,0.496560566
144,HiRain_SWW,0.158078126,0.473811463
145,HiRain_SWW,0.164436061,0.455876455
146,HiRain_SWW,0.201697509,0.484045538
147,HiRain_SWW,0.219984741,0.494404615
148,HiRain_SWW,0.226774877,0.499418102
149,HiRain_SWW,0.128280302,0.430473911
150,HiRain_SWW,0.244729378,0.511345569
151,HiRain_SWW,0.200300831,0.480479529
152,HiRain_SWW,0.128996102,0.427579874
153,HiRain_SWW,0.209195633,0.492162949
154,HiRain_SWW,0.277295955,0.535849709
155,HiRain_SWW,0.226608429,0.500639398
156,HiRain_SWW,0.161540764,0.449008088
157,HiRain_SWW,0.134965531,0.433498637
158,HiRain_SWW,0.253142003,0.520223013
159,HiRain_SWW,0.254007241,0.521130981
160,HiRain_SWW,0.217305937,0.494560409
161,HiRain_SWW,0.146396847,0.443013539
162,HiRain_SWW,0.144216018,0.439230928
163,HiRain_SWW,0.183540777,0.465000382
164,HiRain_SWW,0.179277351,0.462625654
165,HiRain_SWW,0.260534373,0.525499983
166,HiRain_SWW,0.145686951,0.445346108
167,HiRain_SWW,0.233913104,0.50619771
168,HiRain_SWW,0.264446556,0.528286278
169,HiRain_SWW,0.152209732,0.438127214
170,HiRain_SWW,0.237805076,0.502409915
171,HiRain_SWW,0.183550455,0.464695698
172,HiRain_SWW,0.212936804,0.48391666
173,HiRain_SWW,0.2475573,0.509980342
174,HiRain_SWW,-0.009688764,0.350565033
175,HiRain_SWW,0.197617891,0.474162744
176,HiRain_SWW,0.199586633,0.476471925
177,HiRain_SWW,0.160739648,0.447656657
178,HiRain_SWW,0.173025532,0.458898553
179,HiRain_SWW,0.159602652,0.461239095
180,HiRain_SWW,0.142149885,0.439891712
181,HiRain_SWW,0.190260623,0.477517326
182,HiRain_SWW,0.146640744,0.449688496
183,HiRain_SWW,0.202973242,0.480570256
184,HiRain_SWW,0.213688025,0.487784493
185,HiRain_SWW,0.093523748,0.416633856
186,HiRain_SWW,0.204868606,0.477866444
187,HiRain_SWW,0.22116402,0.489898408
188,HiRain_SWW,0.197531637,0.473620348
189,HiRain_SWW,0.155896,0.45036941
190,HiRain_SWW,0.067097087,0.3928134
191,HiRain_SWW,0.210739237,0.482286119
192,HiRain_SWW,0.094615797,0.40415612
193,HiRain_SWW,0.164078419,0.452428168
194,HiRain_SWW,0.113335359,0.422050285
195,HiRain_SWW,1.43057E-05,0.351803446
196,HiRain_SWW,0.042331149,0.380376894
197,HiRain_SWW,0.061302437,0.392917831
198,HiRain_SWW,0.208208381,0.485585276
199,HiRain_SWW,0.133279347,0.450268698
200,HiRain_SWW,0.235404202,0.505137613
201,HiRain_SWW,0.17277792,0.461429017
202,HiRain_SWW,0.23022863,0.501421654
203,HiRain_SWW,0.195985765,0.479750365
204,HiRain_SWW,0.141139681,0.441595136
205,HiRain_SWW,0.159212977,0.454029088
206,HiRain_SWW,0.143081243,0.441372384
207,HiRain_SWW,0.153372694,0.440976871
208,HiRain_SWW,0.202337458,0.480160177
209,HiRain_SWW,0.131392947,0.430383188
210,HiRain_SWW,0.149084822,0.441158006
211,HiRain_SWW,0.139369627,0.43521176
212,HiRain_SWW,-0.002703867,0.363328067
213,HiRain_SWW,-0.061448116,0.349772509
214,HiRain_SWW,0.047533929,0.379052265
215,HiRain_SWW,0.176323312,0.455190957
216,HiRain_SWW,0.073480626,0.389036964
