id,Details,NDRE_TAMU,NDRE_WSU,Yield
99,HiRain_Hard_SP,0.056329336,0.31011675,74
100,HiRain_Hard_SP,0.025850006,0.274734033,67
101,HiRain_Hard_SP,0.001230693,0.246115561,73
102,HiRain_Hard_SP,-0.002161001,0.272904709,72
103,HiRain_Hard_SP,0.026631745,0.285564951,77
104,HiRain_Hard_SP,0.055987613,0.304738308,75
105,HiRain_Hard_SP,-0.003361258,0.274153139,72
106,HiRain_Hard_SP,-0.017399873,0.257150423,70
107,HiRain_Hard_SP,0.095842156,0.32750088,89
108,HiRain_Hard_SP,0.064971386,0.314179748,88
109,HiRain_Hard_SP,0.065650306,0.331328002,87
110,HiRain_Hard_SP,0.104788118,0.336865185,94
111,HiRain_Hard_SP,0.07426243,0.321885917,78
112,HiRain_Hard_SP,0.141800604,0.346157933,110
113,HiRain_Hard_SP,0.205819481,0.399555896,97
114,HiRain_Hard_SP,0.121049861,0.336403967,89
115,HiRain_Hard_SP,0.203162035,0.398369489,84
116,HiRain_Hard_SP,0.135574854,0.351171095,81
117,HiRain_Hard_SP,0.104706549,0.321295866,76
118,HiRain_Hard_SP,0.088833655,0.312526133,76
119,HiRain_Hard_SP,0.097644094,0.32544606,71
120,HiRain_Hard_SP,0.004671499,0.256360181,56
121,HiRain_Hard_SP,0.037153354,0.302459388,77
122,HiRain_Hard_SP,0.000313758,0.247087705,74
123,HiRain_Hard_SP,0.056517794,0.300406794,63
124,HiRain_Hard_SP,0.082479407,0.311136894,63
125,HiRain_Hard_SP,0.107554098,0.337486904,79
126,HiRain_Hard_SP,0.160258819,0.371422683,88
127,HiRain_Hard_SP,0.238787237,0.438215527,102
128,HiRain_Hard_SP,0.208128643,0.405895735,100
129,HiRain_Hard_SP,0.184304796,0.391754857,96
130,HiRain_Hard_SP,0.147785996,0.374860212,97
131,HiRain_Hard_SP,0.212543032,0.405577457,99
132,HiRain_Hard_SP,0.215898659,0.408010581,118
133,HiRain_Hard_SP,0.245457266,0.428309166,118
134,HiRain_Hard_SP,0.328766394,0.490922548,118
135,HiRain_Hard_SP,0.302980789,0.469533015,115
136,HiRain_Hard_SP,0.260107891,0.445632242,120
137,HiRain_Hard_SP,0.274642958,0.450246715,116
138,HiRain_Hard_SP,0.263171725,0.448395942,112
139,HiRain_Hard_SP,0.245317227,0.433674958,102
140,HiRain_Hard_SP,0.24890702,0.434662732,107
141,HiRain_Hard_SP,0.275143353,0.445615225,97
142,HiRain_Hard_SP,0.271669357,0.438272281,105
143,HiRain_Hard_SP,0.264070097,0.434170823,114
144,HiRain_Hard_SP,0.276000171,0.438672279,119
145,HiRain_Hard_SP,0.303582969,0.460115086,124
146,HiRain_Hard_SP,0.265063658,0.432756223,117
147,HiRain_Hard_SP,0.301440665,0.458795913,125
148,HiRain_Hard_SP,0.284936371,0.44959532,120
149,HiRain_Hard_SP,0.269120221,0.435593362,110
150,HiRain_Hard_SP,0.24523749,0.421650293,98
151,HiRain_Hard_SP,0.229681919,0.408530961,103
152,HiRain_Hard_SP,0.164451096,0.363883863,93
153,HiRain_Hard_SP,0.17855813,0.371727066,102
154,HiRain_Hard_SP,0.160032313,0.361493663,93
155,HiRain_Hard_SP,0.258739851,0.441732443,119
156,HiRain_Hard_SP,0.291394466,0.46252022,119
157,HiRain_Hard_SP,0.292028626,0.464321603,111
158,HiRain_Hard_SP,0.298335454,0.467892203,116
159,HiRain_Hard_SP,0.318683574,0.479002417,116
160,HiRain_Hard_SP,0.231593247,0.407303952,119
161,HiRain_Hard_SP,0.08369716,0.398852998,80
162,HiRain_Hard_SP,0.307366563,0.472272654,123
163,HiRain_Hard_SP,0.283720314,0.449476171,121
164,HiRain_Hard_SP,0.266883174,0.435836152,129
165,HiRain_Hard_SP,0.28551219,0.460906155,124
166,HiRain_Hard_SP,0.235522979,0.417117755,127
167,HiRain_Hard_SP,0.253016278,0.432514988,112
168,HiRain_Hard_SP,0.297415781,0.467345734,124
169,HiRain_Hard_SP,0.24452815,0.41438303,93
170,HiRain_Hard_SP,0.258281704,0.437358664,118
171,HiRain_Hard_SP,0.266061597,0.436945468,126
172,HiRain_Hard_SP,0.252620404,0.425677327,128
173,HiRain_Hard_SP,0.220211347,0.39968858,123
174,HiRain_Hard_SP,0.28301239,0.442917102,130
175,HiRain_Hard_SP,0.308943756,0.462424174,129
176,HiRain_Hard_SP,0.293196413,0.450746626,120
177,HiRain_Hard_SP,0.288110327,0.442696476,128
178,HiRain_Hard_SP,0.269165875,0.433086147,135
179,HiRain_Hard_SP,0.284255958,0.451962647,129
180,HiRain_Hard_SP,0.25818698,0.430267368,113
181,HiRain_Hard_SP,0.224915726,0.403289896,111
182,HiRain_Hard_SP,0.244249766,0.423066823,131
183,HiRain_Hard_SP,0.223424705,0.416188617,107
184,HiRain_Hard_SP,0.231979297,0.419662258,109
185,HiRain_Hard_SP,0.221279935,0.411507823,110
186,HiRain_Hard_SP,0.214137226,0.396264115,119
187,HiRain_Hard_SP,0.20119847,0.389249516,117
188,HiRain_Hard_SP,0.206140024,0.398761122,124
189,HiRain_Hard_SP,0.277617435,0.441793832,123
190,HiRain_Hard_SP,0.270645139,0.435114461,93
191,HiRain_Hard_SP,0.27773882,0.441988989,96
