id,Details,NDRE,PLATFORM,Yield
103,HiRain_Hard_SP,0.026631745,TAMU,77
104,HiRain_Hard_SP,0.055987613,TAMU,75
105,HiRain_Hard_SP,-0.003361258,TAMU,72
106,HiRain_Hard_SP,-0.017399873,TAMU,70
107,HiRain_Hard_SP,0.095842156,TAMU,89
108,HiRain_Hard_SP,0.064971386,TAMU,88
109,HiRain_Hard_SP,0.065650306,TAMU,87
110,HiRain_Hard_SP,0.104788118,TAMU,94
111,HiRain_Hard_SP,0.07426243,TAMU,78
112,HiRain_Hard_SP,0.141800604,TAMU,110
113,HiRain_Hard_SP,0.205819481,TAMU,97
114,HiRain_Hard_SP,0.121049861,TAMU,89
115,HiRain_Hard_SP,0.203162035,TAMU,84
116,HiRain_Hard_SP,0.135574854,TAMU,81
117,HiRain_Hard_SP,0.104706549,TAMU,76
118,HiRain_Hard_SP,0.088833655,TAMU,76
119,HiRain_Hard_SP,0.097644094,TAMU,71
120,HiRain_Hard_SP,0.004671499,TAMU,56
121,HiRain_Hard_SP,0.037153354,TAMU,77
122,HiRain_Hard_SP,0.000313758,TAMU,74
123,HiRain_Hard_SP,0.056517794,TAMU,63
124,HiRain_Hard_SP,0.082479407,TAMU,63
125,HiRain_Hard_SP,0.107554098,TAMU,79
126,HiRain_Hard_SP,0.160258819,TAMU,88
127,HiRain_Hard_SP,0.238787237,TAMU,102
128,HiRain_Hard_SP,0.208128643,TAMU,100
129,HiRain_Hard_SP,0.184304796,TAMU,96
130,HiRain_Hard_SP,0.147785996,TAMU,97
131,HiRain_Hard_SP,0.212543032,TAMU,99
132,HiRain_Hard_SP,0.215898659,TAMU,118
133,HiRain_Hard_SP,0.245457266,TAMU,118
134,HiRain_Hard_SP,0.328766394,TAMU,118
135,HiRain_Hard_SP,0.302980789,TAMU,115
136,HiRain_Hard_SP,0.260107891,TAMU,120
137,HiRain_Hard_SP,0.274642958,TAMU,116
138,HiRain_Hard_SP,0.263171725,TAMU,112
139,HiRain_Hard_SP,0.245317227,TAMU,102
140,HiRain_Hard_SP,0.24890702,TAMU,107
141,HiRain_Hard_SP,0.275143353,TAMU,97
142,HiRain_Hard_SP,0.271669357,TAMU,105
143,HiRain_Hard_SP,0.264070097,TAMU,114
144,HiRain_Hard_SP,0.276000171,TAMU,119
145,HiRain_Hard_SP,0.303582969,TAMU,124
146,HiRain_Hard_SP,0.265063658,TAMU,117
147,HiRain_Hard_SP,0.301440665,TAMU,125
148,HiRain_Hard_SP,0.284936371,TAMU,120
149,HiRain_Hard_SP,0.269120221,TAMU,110
150,HiRain_Hard_SP,0.24523749,TAMU,98
151,HiRain_Hard_SP,0.229681919,TAMU,103
152,HiRain_Hard_SP,0.164451096,TAMU,93
153,HiRain_Hard_SP,0.17855813,TAMU,102
154,HiRain_Hard_SP,0.160032313,TAMU,93
155,HiRain_Hard_SP,0.258739851,TAMU,119
156,HiRain_Hard_SP,0.291394466,TAMU,119
157,HiRain_Hard_SP,0.292028626,TAMU,111
158,HiRain_Hard_SP,0.298335454,TAMU,116
159,HiRain_Hard_SP,0.318683574,TAMU,116
160,HiRain_Hard_SP,0.231593247,TAMU,119
161,HiRain_Hard_SP,0.08369716,TAMU,80
162,HiRain_Hard_SP,0.307366563,TAMU,123
163,HiRain_Hard_SP,0.283720314,TAMU,121
164,HiRain_Hard_SP,0.266883174,TAMU,129
165,HiRain_Hard_SP,0.28551219,TAMU,124
166,HiRain_Hard_SP,0.235522979,TAMU,127
167,HiRain_Hard_SP,0.253016278,TAMU,112
168,HiRain_Hard_SP,0.297415781,TAMU,124
169,HiRain_Hard_SP,0.24452815,TAMU,93
170,HiRain_Hard_SP,0.258281704,TAMU,118
171,HiRain_Hard_SP,0.266061597,TAMU,126
172,HiRain_Hard_SP,0.252620404,TAMU,128
173,HiRain_Hard_SP,0.220211347,TAMU,123
174,HiRain_Hard_SP,0.28301239,TAMU,130
175,HiRain_Hard_SP,0.308943756,TAMU,129
176,HiRain_Hard_SP,0.293196413,TAMU,120
